x y z qx qy qz qw yaw_deg direction
0.829361 1.983099 0.000000 0.000000 0.000000 0.905962 -0.423359 -129.91 forward
0.845544 2.023358 0.000000 0.000000 0.000000 0.905305 -0.424761 -129.73 forward
0.861962 2.063777 0.000000 0.000000 0.000000 0.905210 -0.424964 -129.70 forward
0.878226 2.104666 0.000000 0.000000 0.000000 0.904662 -0.426131 -129.56 forward
0.894510 2.145921 0.000000 0.000000 0.000000 0.904111 -0.427297 -129.41 forward
0.909092 2.188184 0.000000 0.000000 0.000000 0.901291 -0.433214 -128.66 forward
1.204094 2.856108 0.000000 0.000000 0.000000 0.900447 -0.434965 -128.43 forward
1.225005 2.911630 0.000000 0.000000 0.000000 0.899530 -0.436859 -128.19 forward
1.241107 2.969358 0.000000 0.000000 0.000000 0.893219 -0.449622 -126.56 forward
1.260495 3.026401 0.000000 0.000000 0.000000 0.891466 -0.453088 -126.12 forward
1.279570 3.083993 0.000000 0.000000 0.000000 0.889700 -0.456546 -125.67 forward
1.295676 3.143037 0.000000 0.000000 0.000000 0.885637 -0.464379 -124.66 forward
1.575590 3.876986 0.000000 0.000000 0.000000 0.883595 -0.468252 -124.16 forward
1.596923 3.950725 0.000000 0.000000 0.000000 0.881479 -0.472223 -123.64 forward
1.620369 4.024337 0.000000 0.000000 0.000000 0.882372 -0.470552 -123.86 forward
1.641637 4.099314 0.000000 0.000000 0.000000 0.880799 -0.473490 -123.48 forward
1.662545 4.174939 0.000000 0.000000 0.000000 0.879217 -0.476421 -123.10 forward
1.686161 4.250399 0.000000 0.000000 0.000000 0.880250 -0.474511 -123.35 forward
1.957671 4.966333 0.000000 0.000000 0.000000 0.879410 -0.476066 -123.14 forward
1.982347 5.057235 0.000000 0.000000 0.000000 0.878249 -0.478204 -122.86 forward
2.011495 5.147535 0.000000 0.000000 0.000000 0.880754 -0.473573 -123.47 forward
2.037057 5.239650 0.000000 0.000000 0.000000 0.880170 -0.474659 -123.33 forward
2.062538 5.332364 0.000000 0.000000 0.000000 0.879584 -0.475743 -123.18 forward
2.098746 5.423070 0.000000 0.000000 0.000000 0.885594 -0.464459 -124.65 forward
2.349896 6.196040 0.000000 0.000000 0.000000 0.886179 -0.463343 -124.79 forward
2.382208 6.304244 0.000000 0.000000 0.000000 0.886568 -0.462599 -124.89 forward
2.431123 6.408435 0.000000 0.000000 0.000000 0.896007 -0.444039 -127.28 forward
2.468602 6.516697 0.000000 0.000000 0.000000 0.897637 -0.440735 -127.70 forward
2.507135 6.625408 0.000000 0.000000 0.000000 0.899254 -0.437427 -128.12 forward
2.561239 6.729952 0.000000 0.000000 0.000000 0.906036 -0.423201 -129.93 forward
2.804243 7.386587 0.000000 0.000000 0.000000 0.908309 -0.418300 -130.55 forward
2.853659 7.506531 0.000000 0.000000 0.000000 0.910341 -0.413859 -131.11 forward
2.906207 7.626276 0.000000 0.000000 0.000000 0.911254 -0.411844 -131.36 forward
2.957969 7.747233 0.000000 0.000000 0.000000 0.912807 -0.408391 -131.79 forward
3.010917 7.868416 0.000000 0.000000 0.000000 0.914344 -0.404939 -132.23 forward
3.063978 7.991079 0.000000 0.000000 0.000000 0.913860 -0.406029 -132.09 forward
3.308544 8.638692 0.000000 0.000000 0.000000 0.914795 -0.403918 -132.35 forward
3.368468 8.772513 0.000000 0.000000 0.000000 0.915810 -0.401612 -132.64 forward
3.421943 8.910271 0.000000 0.000000 0.000000 0.912650 -0.408743 -131.75 forward
3.481182 9.046563 0.000000 0.000000 0.000000 0.912882 -0.408223 -131.81 forward
3.540984 9.183721 0.000000 0.000000 0.000000 0.913115 -0.407703 -131.88 forward
3.589940 9.326588 0.000000 0.000000 0.000000 0.909208 -0.416341 -130.79 forward
