x y z qx qy qz qw yaw_deg direction
4.382348 11.036157 0.000000 0.000000 0.000000 0.565492 0.824754 68.87 stop
4.385681 11.044337 0.000000 0.000000 0.000000 0.565492 0.824753 68.87 stop
4.389032 11.052562 0.000000 0.000000 0.000000 0.555732 0.831362 67.52 stop
4.392402 11.060836 0.000000 0.000000 0.000000 0.555733 0.831361 67.52 stop
4.395788 11.069150 0.000000 0.000000 0.000000 0.555733 0.831361 67.52 stop
4.399200 11.077527 0.000000 0.000000 0.000000 0.555734 0.831360 67.52 stop
4.475609 11.233525 0.000000 0.000000 0.000000 0.555249 0.831684 67.46 forward
4.480558 11.244995 0.000000 0.000000 0.000000 0.555180 0.831730 67.45 forward
4.485546 11.256549 0.000000 0.000000 0.000000 0.555111 0.831776 67.44 forward
4.490788 11.268076 0.000000 0.000000 0.000000 0.552869 0.833268 67.13 forward
4.495899 11.279736 0.000000 0.000000 0.000000 0.552500 0.833513 67.08 forward
4.501060 11.291481 0.000000 0.000000 0.000000 0.552131 0.833758 67.03 forward
4.544131 11.489042 0.000000 0.000000 0.000000 0.557055 0.830476 67.70 forward
4.550300 11.504656 0.000000 0.000000 0.000000 0.556237 0.831024 67.59 forward
4.556540 11.520364 0.000000 0.000000 0.000000 0.555419 0.831571 67.48 forward
4.563504 11.535894 0.000000 0.000000 0.000000 0.550305 0.834963 66.78 forward
4.570051 11.551721 0.000000 0.000000 0.000000 0.548947 0.835857 66.59 forward
4.576694 11.567639 0.000000 0.000000 0.000000 0.547586 0.836749 66.40 forward
4.634556 11.749942 0.000000 0.000000 0.000000 0.541458 0.840728 65.57 forward
4.642756 11.769285 0.000000 0.000000 0.000000 0.539515 0.841976 65.30 forward
4.651103 11.788731 0.000000 0.000000 0.000000 0.555486 0.831526 67.49 forward
4.660628 11.807815 0.000000 0.000000 0.000000 0.548549 0.836118 66.54 forward
4.669498 11.827337 0.000000 0.000000 0.000000 0.546044 0.837757 66.19 forward
4.678547 11.846946 0.000000 0.000000 0.000000 0.543532 0.839389 65.85 forward
4.745484 12.012670 0.000000 0.000000 0.000000 0.535975 0.844234 64.82 forward
4.756536 12.035186 0.000000 0.000000 0.000000 0.532891 0.846184 64.40 forward
4.767823 12.057764 0.000000 0.000000 0.000000 0.529801 0.848122 63.98 forward
4.780625 12.079806 0.000000 0.000000 0.000000 0.528931 0.848665 63.87 forward
4.792653 12.102387 0.000000 0.000000 0.000000 0.525321 0.850904 63.38 forward
4.804960 12.125031 0.000000 0.000000 0.000000 0.521699 0.853130 62.89 forward
4.880362 12.227844 0.000000 0.000000 0.000000 0.513344 0.858183 61.77 forward
4.894915 12.251872 0.000000 0.000000 0.000000 0.509236 0.860627 61.23 forward
4.909811 12.275947 0.000000 0.000000 0.000000 0.505111 0.863054 60.68 forward
4.926309 12.299312 0.000000 0.000000 0.000000 0.496759 0.867889 59.57 forward
4.942080 12.323243 0.000000 0.000000 0.000000 0.492208 0.870478 58.97 forward
4.958204 12.347162 0.000000 0.000000 0.000000 0.483729 0.875218 57.86 forward
5.030711 12.445377 0.000000 0.000000 0.000000 0.475368 0.879787 56.77 forward
5.049118 12.470422 0.000000 0.000000 0.000000 0.470433 0.882436 56.12 forward
5.067967 12.495476 0.000000 0.000000 0.000000 0.465473 0.885062 55.48 forward
5.088245 12.519691 0.000000 0.000000 0.000000 0.457419 0.889251 54.44 forward
5.108046 12.544473 0.000000 0.000000 0.000000 0.452185 0.891924 53.77 forward
5.128245 12.569153 0.000000 0.000000 0.000000 0.446942 0.894563 53.10 forward
5.198565 12.616608 0.000000 0.000000 0.000000 0.432697 0.901540 51.28 forward
5.220833 12.641283 0.000000 0.000000 0.000000 0.427236 0.904140 50.58 forward
5.243516 12.665813 0.000000 0.000000 0.000000 0.421766 0.906705 49.89 forward
5.267207 12.689805 0.000000 0.000000 0.000000 0.415341 0.909666 49.08 forward
5.290829 12.714052 0.000000 0.000000 0.000000 0.409867 0.912145 48.39 forward
5.314897 12.738168 0.000000 0.000000 0.000000 0.404376 0.914593 47.70 forward
5.373400 12.793095 0.000000 0.000000 0.000000 0.399336 0.916805 47.07 forward
