x y z qx qy qz qw yaw_deg direction
7.484935 18.490875 0.000000 0.000000 0.000000 0.471915 0.881644 56.32 forward
7.483936 18.488020 0.000000 0.000000 0.000000 0.467922 0.883770 55.80 forward
7.482870 18.485097 0.000000 0.000000 0.000000 0.463908 0.885884 55.28 forward
7.481563 18.482203 0.000000 0.000000 0.000000 0.455291 0.890343 54.17 forward
7.480336 18.479184 0.000000 0.000000 0.000000 0.450730 0.892660 53.58 forward
7.560767 18.531231 0.000000 0.000000 0.000000 0.446189 0.894939 53.00 stop
7.561125 18.528930 0.000000 0.000000 0.000000 0.438482 0.898740 52.01 stop
7.561528 18.526533 0.000000 0.000000 0.000000 0.433590 0.901110 51.39 stop
7.561952 18.523495 0.000000 0.000000 0.000000 0.427549 0.903992 50.62 stop
7.562080 18.521552 0.000000 0.000000 0.000000 0.421770 0.906703 49.89 stop
7.562305 18.518964 0.000000 0.000000 0.000000 0.416712 0.909039 49.25 forward
7.660274 18.565244 0.000000 0.000000 0.000000 0.411690 0.911324 48.62 stop
7.662487 18.563072 0.000000 0.000000 0.000000 0.405611 0.914046 47.86 stop
7.664713 18.560827 0.000000 0.000000 0.000000 0.400522 0.916287 47.22 stop
7.666903 18.558500 0.000000 0.000000 0.000000 0.395411 0.918504 46.58 stop
7.669011 18.556086 0.000000 0.000000 0.000000 0.390065 0.920787 45.92 stop
7.671117 18.553605 0.000000 0.000000 0.000000 0.385032 0.922903 45.29 stop
7.775540 18.640914 0.000000 0.000000 0.000000 0.380075 0.924956 44.68 reverse
7.779899 18.639418 0.000000 0.000000 0.000000 0.368260 0.929723 43.22 reverse
7.784340 18.637941 0.000000 0.000000 0.000000 0.362290 0.932065 42.48 reverse
7.788774 18.636363 0.000000 0.000000 0.000000 0.356294 0.934374 41.75 reverse
7.793015 18.634354 0.000000 0.000000 0.000000 0.341193 0.939993 39.90 reverse
7.797369 18.632501 0.000000 0.000000 0.000000 0.333988 0.942577 39.02 reverse
7.908932 18.704382 0.000000 0.000000 0.000000 0.326869 0.945070 38.16 reverse
7.915673 18.702894 0.000000 0.000000 0.000000 0.315231 0.949015 36.75 reverse
7.922494 18.701449 0.000000 0.000000 0.000000 0.307550 0.951532 35.82 reverse
7.929305 18.699861 0.000000 0.000000 0.000000 0.299853 0.953985 34.90 reverse
